reportDate,zip,confirmed_cases,total_tested
1/26/2021 12:00:00 AM,61342,1066,8169
1/26/2021 12:00:00 AM,61344,21,196
1/26/2021 12:00:00 AM,61345,66,505
1/26/2021 12:00:00 AM,61348,409,3854
1/26/2021 12:00:00 AM,61349,78,711
1/26/2021 12:00:00 AM,61350,1928,24564
1/26/2021 12:00:00 AM,61353,80,829
1/26/2021 12:00:00 AM,61354,1075,9947
1/26/2021 12:00:00 AM,61356,1012,11267
1/26/2021 12:00:00 AM,61358,23,275
1/26/2021 12:00:00 AM,61359,31,214
1/26/2021 12:00:00 AM,61360,260,1939
1/26/2021 12:00:00 AM,61361,106,976
1/26/2021 12:00:00 AM,61362,616,7335
1/26/2021 12:00:00 AM,61363,23,141
1/26/2021 12:00:00 AM,61364,1674,21771
1/26/2021 12:00:00 AM,61367,75,431
1/26/2021 12:00:00 AM,61368,82,884
1/26/2021 12:00:00 AM,61369,111,4164
1/26/2021 12:00:00 AM,61370,79,842
1/26/2021 12:00:00 AM,61372,13,220
1/26/2021 12:00:00 AM,61373,163,1463
1/26/2021 12:00:00 AM,61374,6,41
1/26/2021 12:00:00 AM,61375,46,769
1/26/2021 12:00:00 AM,61376,201,2425
1/26/2021 12:00:00 AM,61377,93,919
1/26/2021 12:00:00 AM,61378,26,184
1/26/2021 12:00:00 AM,61379,95,834
1/26/2021 12:00:00 AM,61401,3042,35944
1/26/2021 12:00:00 AM,61402,148,9764
1/26/2021 12:00:00 AM,61410,296,2677
1/26/2021 12:00:00 AM,61411,28,308
1/26/2021 12:00:00 AM,61412,125,893
1/26/2021 12:00:00 AM,61413,61,622
1/26/2021 12:00:00 AM,61414,46,529
1/26/2021 12:00:00 AM,61415,143,1011
1/26/2021 12:00:00 AM,61417,17,160
1/26/2021 12:00:00 AM,61418,39,351
1/26/2021 12:00:00 AM,61419,9,86
1/26/2021 12:00:00 AM,61420,60,779
1/26/2021 12:00:00 AM,61421,109,1109
1/26/2021 12:00:00 AM,61422,281,3055
1/26/2021 12:00:00 AM,61423,53,357
1/26/2021 12:00:00 AM,61424,12,109
1/26/2021 12:00:00 AM,61425,24,227
1/26/2021 12:00:00 AM,61426,7,69
1/26/2021 12:00:00 AM,61427,123,2895
1/26/2021 12:00:00 AM,61428,93,826
1/26/2021 12:00:00 AM,61430,64,570
1/26/2021 12:00:00 AM,61431,24,375
1/26/2021 12:00:00 AM,61432,34,774
1/26/2021 12:00:00 AM,61433,12,97
1/26/2021 12:00:00 AM,61434,234,2457
1/26/2021 12:00:00 AM,61435,14,127
1/26/2021 12:00:00 AM,61436,60,567
1/26/2021 12:00:00 AM,61437,33,404
1/26/2021 12:00:00 AM,61438,40,705
1/26/2021 12:00:00 AM,61439,27,154
1/26/2021 12:00:00 AM,61440,37,614
1/26/2021 12:00:00 AM,61441,62,720
1/26/2021 12:00:00 AM,61442,56,492
1/26/2021 12:00:00 AM,61443,1288,15873
1/26/2021 12:00:00 AM,61447,66,513
1/26/2021 12:00:00 AM,61448,395,4508
1/26/2021 12:00:00 AM,61449,25,298
1/26/2021 12:00:00 AM,61450,131,1158
1/26/2021 12:00:00 AM,61451,27,294
1/26/2021 12:00:00 AM,61452,22,220
1/26/2021 12:00:00 AM,61453,52,448
1/26/2021 12:00:00 AM,61454,45,551
1/26/2021 12:00:00 AM,61455,1521,22338
1/26/2021 12:00:00 AM,61458,55,558
1/26/2021 12:00:00 AM,61459,12,241
1/26/2021 12:00:00 AM,61460,18,268
1/26/2021 12:00:00 AM,61462,1117,8283
1/26/2021 12:00:00 AM,61465,65,681
1/26/2021 12:00:00 AM,61466,27,173
1/26/2021 12:00:00 AM,61467,85,647
1/26/2021 12:00:00 AM,61469,135,1169
1/26/2021 12:00:00 AM,61470,27,447
1/26/2021 12:00:00 AM,61471,14,57
1/26/2021 12:00:00 AM,61472,47,366
1/26/2021 12:00:00 AM,61473,100,1177
1/26/2021 12:00:00 AM,61474,20,177
1/26/2021 12:00:00 AM,61475,8,122
1/26/2021 12:00:00 AM,61476,21,348
1/26/2021 12:00:00 AM,61477,34,581
1/26/2021 12:00:00 AM,61478,18,127
1/26/2021 12:00:00 AM,61480,113,1790
1/26/2021 12:00:00 AM,61482,48,623
1/26/2021 12:00:00 AM,61483,200,3064
1/26/2021 12:00:00 AM,61484,49,681
1/26/2021 12:00:00 AM,61485,36,430
1/26/2021 12:00:00 AM,61486,103,1031
1/26/2021 12:00:00 AM,61488,89,775
1/26/2021 12:00:00 AM,61489,90,783
1/26/2021 12:00:00 AM,61490,62,673
1/26/2021 12:00:00 AM,61491,169,2125
1/26/2021 12:00:00 AM,61501,139,1541
1/26/2021 12:00:00 AM,61516,45,619
1/26/2021 12:00:00 AM,61517,289,2813
1/26/2021 12:00:00 AM,61519,20,288
1/26/2021 12:00:00 AM,61520,1435,35044
1/26/2021 12:00:00 AM,61523,852,12475
1/26/2021 12:00:00 AM,61524,6,353
1/26/2021 12:00:00 AM,61525,926,11764
1/26/2021 12:00:00 AM,61526,85,1317
1/26/2021 12:00:00 AM,61528,266,3306
1/26/2021 12:00:00 AM,61529,208,2796
1/26/2021 12:00:00 AM,61530,623,10074
1/26/2021 12:00:00 AM,61531,233,5213
1/26/2021 12:00:00 AM,61532,41,559
1/26/2021 12:00:00 AM,61533,197,1862
1/26/2021 12:00:00 AM,61534,109,1327
1/26/2021 12:00:00 AM,61535,147,1593
1/26/2021 12:00:00 AM,61536,225,2663
1/26/2021 12:00:00 AM,61537,208,3773
